                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3181,                 3.4753,                 2.6412,                0.00556,                0.28215,                0.00406,                0.00125,                 3.3655,                 4.0617,                 2.8419,             0.00065537,             0.00065537,             0.00065537
                      2,                 3.2588,                 3.2776,                 2.5035,                0.00397,                0.04449,                0.00319,                0.00092,                 3.7282,                 5.1036,                 3.0909,              0.0012959,              0.0012959,              0.0012959
                      3,                  3.155,                 3.2724,                 2.4926,                0.02252,                0.02442,                0.00581,                0.00173,                 3.4602,                  3.651,                 2.9171,              0.0019099,              0.0019099,              0.0019099
                      4,                 3.1559,                 3.2729,                 2.5166,                0.00442,                0.10092,                 0.0026,                0.00082,                 4.4184,                 4.2354,                 5.8351,              0.0018812,              0.0018812,              0.0018812
                      5,                 3.1245,                 3.2414,                 2.4835,                0.01574,                0.09767,                0.00627,                0.00173,                 3.3997,                 3.6354,                  2.871,              0.0018812,              0.0018812,              0.0018812
                      6,                 3.0645,                 3.2422,                 2.4725,                0.00522,                0.23169,                0.00407,                0.00116,                 3.2934,                 4.1746,                 2.7877,              0.0018416,              0.0018416,              0.0018416
                      7,                 3.0562,                 3.2472,                 2.4548,                0.01342,                0.15844,                0.00683,                0.00183,                 3.1528,                 3.5318,                 2.6384,               0.001802,               0.001802,               0.001802
                      8,                 3.0369,                 3.2185,                 2.4496,                 0.0101,                0.21053,                0.01043,                0.00308,                 3.1888,                  3.928,                  2.635,              0.0017624,              0.0017624,              0.0017624
                      9,                 2.9803,                 3.1934,                 2.4404,                0.00521,                0.26316,                0.00564,                 0.0016,                 3.1471,                  3.432,                   2.61,              0.0017228,              0.0017228,              0.0017228
                     10,                 2.9431,                 3.2013,                 2.4333,                0.01018,                0.21758,                0.00699,                0.00198,                  3.088,                 3.4662,                 2.6644,              0.0016832,              0.0016832,              0.0016832
                     11,                 2.9356,                 3.1683,                 2.4273,                0.01298,                0.07759,                0.00562,                0.00174,                 3.0897,                 3.5278,                 2.6183,              0.0016436,              0.0016436,              0.0016436
                     12,                  2.921,                  3.155,                 2.4073,                0.00611,                 0.2968,                0.00654,                0.00203,                 3.0675,                 3.4156,                 2.5905,               0.001604,               0.001604,               0.001604
                     13,                 2.9199,                 3.1847,                 2.4133,                0.00646,                0.30385,                0.00975,                0.00258,                 3.1526,                 3.3467,                 2.6179,              0.0015644,              0.0015644,              0.0015644
                     14,                 2.8886,                 3.1174,                 2.3834,                0.00653,                0.29734,                0.01335,                0.00316,                 3.0039,                 3.3885,                 2.6028,              0.0015248,              0.0015248,              0.0015248
                     15,                 2.8916,                 3.1288,                 2.3869,                 0.0076,                0.32122,                0.01063,                0.00303,                 2.9974,                  3.398,                 2.7471,              0.0014852,              0.0014852,              0.0014852
                     16,                 2.8741,                 3.1289,                 2.3682,                 0.0076,                0.37656,                0.01351,                0.00384,                 2.9209,                 3.2254,                 2.5609,              0.0014456,              0.0014456,              0.0014456
                     17,                 2.8572,                 3.1148,                 2.3541,                0.01303,                0.06764,                0.00518,                0.00154,                 3.0637,                 3.4685,                 2.5064,               0.001406,               0.001406,               0.001406
                     18,                 2.8439,                 3.0913,                 2.3472,                0.02976,                0.08139,                0.01233,                0.00396,                 2.9947,                 3.4203,                  2.796,              0.0013664,              0.0013664,              0.0013664
                     19,                 2.8138,                 3.0827,                 2.3243,                0.01613,                0.21324,                0.01654,                0.00404,                 2.9445,                 3.2903,                 2.5958,              0.0013268,              0.0013268,              0.0013268
