                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2257,                 1.6148,                 1.2737,                0.66477,                0.50119,                0.58983,                0.43937,                 1.0965,                 1.1349,                 1.1367,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2244,                 1.5143,                 1.2682,                0.66494,                0.54266,                0.61336,                0.45401,                  1.087,                 1.1065,                 1.1295,              1.196e-05,              1.196e-05,              1.196e-05
                      3,                 1.2089,                 1.4479,                  1.222,                0.65988,                0.56364,                0.62101,                0.46133,                 1.0822,                 1.0919,                  1.126,             9.3058e-06,             9.3058e-06,             9.3058e-06
