                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1028,                  3.289,                 2.4618,                 0.0808,                0.03254,                0.01559,                0.00445,                 3.1746,                 4.4201,                 2.6733,              0.0033262,              0.0033262,              0.0033262
                      2,                  2.923,                 3.0074,                  2.301,                0.05264,                0.08539,                 0.0198,                0.00544,                 2.9183,                 4.8564,                 2.5002,              0.0066156,              0.0066156,              0.0066156
                      3,                 2.8745,                 2.9936,                 2.3098,                0.06792,                0.04785,                0.01843,                0.00613,                 3.0013,                 4.1422,                 2.6303,               0.009861,               0.009861,               0.009861
                      4,                 2.8624,                 3.0153,                 2.3346,                0.02933,                0.26671,                0.02211,                0.00586,                 2.9083,                 3.6256,                 2.4126,               0.009802,               0.009802,               0.009802
                      5,                 2.7743,                  2.984,                 2.2756,                0.09918,                0.05802,                0.02928,                0.00887,                 2.7674,                 3.3622,                 2.3882,               0.009802,               0.009802,               0.009802
                      6,                 2.7204,                 2.9167,                 2.2314,                0.04221,                0.08015,                0.02394,                0.00723,                 2.7437,                 3.3716,                 2.3691,               0.009736,               0.009736,               0.009736
                      7,                 2.6621,                 2.8725,                 2.1983,                 0.0919,                0.04931,                0.03407,                 0.0121,                 2.6198,                 3.4146,                 2.2919,                0.00967,                0.00967,                0.00967
                      8,                 2.6052,                 2.8429,                 2.1656,                0.11771,                0.06953,                0.04549,                0.01613,                 2.5369,                 3.1297,                 2.2413,               0.009604,               0.009604,               0.009604
                      9,                 2.5687,                 2.8117,                  2.143,                0.13481,                0.07695,                0.04512,                0.01581,                 2.6315,                 3.5648,                 2.2317,               0.009538,               0.009538,               0.009538
                     10,                 2.5398,                 2.7778,                 2.1111,                0.14557,                0.05668,                0.04426,                0.01522,                 2.4722,                 3.1256,                 2.1843,               0.009472,               0.009472,               0.009472
                     11,                   2.51,                 2.7419,                 2.0886,                0.13174,                0.09769,                0.05328,                0.01757,                 2.4328,                 3.4673,                 2.1782,               0.009406,               0.009406,               0.009406
                     12,                  2.485,                 2.7161,                  2.058,                0.15221,                0.11597,                0.06188,                0.02212,                 2.3681,                 3.0111,                 2.1253,                0.00934,                0.00934,                0.00934
                     13,                 2.4332,                 2.6892,                 2.0336,                0.16464,                0.09564,                0.06994,                0.02785,                   2.38,                 2.8666,                 2.1101,               0.009274,               0.009274,               0.009274
                     14,                 2.4108,                 2.6657,                 2.0223,                 0.1609,                0.12894,                 0.0785,                0.03016,                 2.2833,                 2.9115,                 2.0692,               0.009208,               0.009208,               0.009208
                     15,                 2.4034,                 2.6415,                  2.001,                0.16643,                0.12135,                0.07858,                0.02858,                 2.3117,                 2.7816,                 2.0546,               0.009142,               0.009142,               0.009142
                     16,                 2.3738,                 2.6227,                 1.9801,                0.18412,                0.11708,                0.08185,                0.03219,                 2.2425,                 2.8959,                 2.0082,               0.009076,               0.009076,               0.009076
                     17,                 2.3478,                 2.5915,                  1.962,                0.20602,                0.11831,                0.08628,                0.03342,                 2.2567,                 2.7558,                 2.0223,                0.00901,                0.00901,                0.00901
                     18,                 2.3353,                 2.5741,                 1.9534,                0.20533,                0.13882,                0.09878,                 0.0417,                 2.1488,                 2.7275,                 1.9429,               0.008944,               0.008944,               0.008944
                     19,                 2.3047,                 2.5538,                 1.9302,                0.20727,                0.13238,                 0.1013,                0.03977,                    2.2,                 2.7372,                 1.9448,               0.008878,               0.008878,               0.008878
                     20,                 2.2912,                 2.5441,                 1.9271,                0.19732,                0.15338,                0.10496,                 0.0434,                 2.1491,                 2.6115,                 1.9273,               0.008812,               0.008812,               0.008812
                     21,                 2.2743,                 2.5256,                 1.9115,                0.21446,                0.15137,                 0.1089,                0.04471,                 2.0964,                 2.6407,                 1.9037,               0.008746,               0.008746,               0.008746
                     22,                 2.2555,                 2.5031,                  1.892,                0.22833,                0.16219,                0.11587,                0.04866,                 2.0417,                 2.6395,                  1.872,                0.00868,                0.00868,                0.00868
                     23,                 2.2394,                 2.4791,                 1.8834,                0.22772,                0.16964,                0.12645,                0.05328,                 2.0841,                 2.5362,                  1.878,               0.008614,               0.008614,               0.008614
                     24,                 2.2198,                 2.4684,                 1.8667,                 0.2377,                0.16762,                0.12954,                0.05535,                 2.0524,                 2.5014,                  1.862,               0.008548,               0.008548,               0.008548
                     25,                 2.2163,                 2.4478,                 1.8598,                 0.2472,                0.17697,                0.13877,                0.05939,                 2.0226,                 2.3989,                 1.8453,               0.008482,               0.008482,               0.008482
                     26,                  2.214,                 2.4424,                 1.8484,                0.25032,                0.17849,                0.13987,                0.05821,                 1.9804,                 2.4972,                 1.8352,               0.008416,               0.008416,               0.008416
                     27,                 2.1834,                 2.4208,                 1.8392,                0.25421,                0.18865,                0.14524,                0.06611,                 1.9624,                 2.4374,                 1.8144,                0.00835,                0.00835,                0.00835
                     28,                 2.1711,                 2.4077,                 1.8349,                0.25155,                0.19035,                0.14879,                0.06838,                 1.9545,                 2.4466,                 1.8094,               0.008284,               0.008284,               0.008284
                     29,                 2.1479,                 2.4038,                 1.8212,                 0.2632,                0.20038,                0.15001,                0.06654,                 1.9387,                 2.3966,                 1.7889,               0.008218,               0.008218,               0.008218
                     30,                 2.1481,                 2.3866,                 1.8172,                0.27753,                0.19113,                0.15214,                0.06637,                 1.9343,                 2.4493,                 1.8026,               0.008152,               0.008152,               0.008152
                     31,                 2.1249,                 2.3765,                 1.8054,                0.29486,                0.19736,                0.16823,                0.08049,                 1.8886,                 2.3794,                 1.7787,               0.008086,               0.008086,               0.008086
                     32,                 2.1131,                 2.3511,                 1.7917,                0.28429,                0.20554,                0.16115,                0.07442,                 1.8779,                 2.4274,                 1.7689,                0.00802,                0.00802,                0.00802
                     33,                 2.1011,                  2.347,                 1.7851,                0.28478,                0.22645,                 0.1705,                0.07993,                 1.8543,                 2.3418,                 1.7488,               0.007954,               0.007954,               0.007954
                     34,                 2.0938,                 2.3357,                 1.7739,                 0.2903,                0.21734,                0.17563,                0.08268,                 1.8677,                 2.3337,                 1.7435,               0.007888,               0.007888,               0.007888
                     35,                  2.085,                 2.3243,                 1.7728,                  0.271,                0.20928,                0.16833,                0.07611,                 1.8869,                 2.2811,                 1.7491,               0.007822,               0.007822,               0.007822
                     36,                 2.0505,                 2.3007,                 1.7498,                0.29034,                 0.2219,                0.17626,                0.08376,                 1.8019,                 2.3174,                 1.7054,               0.007756,               0.007756,               0.007756
                     37,                 2.0496,                 2.2995,                 1.7566,                0.29071,                0.22622,                0.17837,                0.08653,                 1.8094,                 2.2753,                 1.7033,                0.00769,                0.00769,                0.00769
                     38,                 2.0402,                 2.2816,                 1.7438,                0.29018,                0.23294,                 0.1864,                0.09441,                 1.7652,                  2.213,                 1.6843,               0.007624,               0.007624,               0.007624
                     39,                 2.0265,                 2.2676,                 1.7331,                0.29523,                0.23148,                0.18401,                0.09085,                 1.7663,                 2.2536,                 1.6829,               0.007558,               0.007558,               0.007558
                     40,                 2.0205,                 2.2689,                 1.7261,                 0.3187,                0.24971,                0.20187,                0.10325,                 1.7509,                  2.165,                 1.6734,               0.007492,               0.007492,               0.007492
                     41,                 2.0039,                 2.2655,                 1.7241,                0.30968,                0.23685,                0.19973,                0.10163,                 1.7295,                  2.198,                   1.66,               0.007426,               0.007426,               0.007426
                     42,                 2.0013,                 2.2572,                  1.717,                0.29218,                0.23972,                0.19027,                0.09323,                 1.7593,                 2.2008,                 1.6717,                0.00736,                0.00736,                0.00736
                     43,                 1.9796,                  2.233,                 1.7096,                0.31911,                0.25012,                0.20192,                0.09716,                 1.7394,                 2.1932,                 1.6634,               0.007294,               0.007294,               0.007294
                     44,                 1.9713,                 2.2286,                 1.6912,                0.31722,                0.24778,                0.20671,                0.10552,                 1.6974,                 2.1572,                 1.6353,               0.007228,               0.007228,               0.007228
                     45,                 1.9584,                 2.2132,                 1.6893,                0.32485,                0.25674,                0.20926,                0.10845,                 1.6725,                 2.1508,                 1.6242,               0.007162,               0.007162,               0.007162
                     46,                  1.969,                 2.2136,                 1.6917,                0.32131,                0.26665,                0.21471,                0.11188,                 1.6788,                 2.1328,                 1.6132,               0.007096,               0.007096,               0.007096
                     47,                   1.95,                 2.2002,                 1.6812,                 0.3315,                0.26595,                0.22153,                0.11539,                 1.6557,                 2.1225,                 1.6044,                0.00703,                0.00703,                0.00703
                     48,                  1.936,                 2.1981,                 1.6782,                0.33183,                0.26367,                0.21825,                0.11518,                 1.6641,                 2.1239,                 1.6081,               0.006964,               0.006964,               0.006964
                     49,                 1.9428,                 2.1974,                 1.6814,                0.34824,                0.27051,                0.22681,                0.12005,                 1.6089,                 2.0839,                 1.5787,               0.006898,               0.006898,               0.006898
                     50,                 1.9239,                 2.1804,                  1.667,                0.33474,                0.27452,                0.22182,                0.11794,                 1.6432,                 2.0825,                 1.5881,               0.006832,               0.006832,               0.006832
                     51,                 1.9092,                 2.1584,                 1.6503,                 0.3397,                0.27898,                0.23118,                0.11866,                 1.6382,                 2.0695,                 1.5853,               0.006766,               0.006766,               0.006766
                     52,                 1.9073,                 2.1664,                 1.6624,                0.34745,                0.27954,                0.23301,                0.12219,                 1.6184,                 2.0596,                 1.5734,                 0.0067,                 0.0067,                 0.0067
                     53,                  1.906,                 2.1606,                 1.6469,                0.34874,                0.27577,                0.23183,                0.12548,                 1.5783,                 2.0821,                 1.5559,               0.006634,               0.006634,               0.006634
                     54,                 1.8915,                 2.1452,                 1.6476,                0.36464,                0.28704,                 0.2494,                0.13563,                 1.5508,                 2.0488,                 1.5415,               0.006568,               0.006568,               0.006568
                     55,                 1.8801,                 2.1398,                 1.6367,                0.35105,                0.28003,                0.23982,                0.12804,                 1.5748,                 2.0489,                 1.5575,               0.006502,               0.006502,               0.006502
                     56,                 1.8841,                 2.1295,                 1.6321,                0.37144,                0.29288,                0.25351,                 0.1386,                 1.5385,                 2.0333,                 1.5301,               0.006436,               0.006436,               0.006436
                     57,                 1.8698,                 2.1308,                 1.6313,                0.37214,                0.28576,                0.25233,                   0.14,                 1.5164,                 2.0062,                 1.5195,                0.00637,                0.00637,                0.00637
                     58,                 1.8644,                 2.1279,                 1.6307,                0.36156,                0.28827,                0.24424,                0.13155,                 1.5576,                  2.027,                 1.5386,               0.006304,               0.006304,               0.006304
                     59,                 1.8474,                 2.1035,                   1.62,                0.36433,                0.30194,                0.25722,                0.14652,                 1.5003,                  1.995,                 1.5154,               0.006238,               0.006238,               0.006238
                     60,                 1.8468,                 2.1039,                 1.6173,                0.37416,                0.30305,                0.25529,                0.14416,                 1.5082,                 2.0069,                 1.5126,               0.006172,               0.006172,               0.006172
                     61,                 1.8445,                  2.094,                 1.6058,                0.38754,                 0.3051,                0.26114,                0.14187,                 1.5293,                 1.9691,                  1.519,               0.006106,               0.006106,               0.006106
                     62,                 1.8295,                 2.0934,                 1.6013,                0.38527,                0.31783,                0.26866,                0.15165,                 1.4829,                 1.9405,                 1.4922,                0.00604,                0.00604,                0.00604
                     63,                 1.8324,                 2.0989,                 1.6032,                0.36527,                0.30597,                0.25807,                0.14318,                 1.5117,                 1.9811,                 1.5049,               0.005974,               0.005974,               0.005974
                     64,                 1.8165,                 2.0799,                 1.5949,                0.38133,                0.31936,                0.27308,                0.15394,                 1.4726,                 1.9461,                 1.4842,               0.005908,               0.005908,               0.005908
                     65,                  1.823,                 2.0799,                 1.5967,                0.37733,                0.31637,                0.27457,                0.15526,                 1.4762,                 1.9617,                 1.4871,               0.005842,               0.005842,               0.005842
                     66,                 1.8073,                 2.0694,                 1.5857,                0.38216,                0.32264,                0.27837,                0.15689,                 1.4784,                 1.9639,                 1.4841,               0.005776,               0.005776,               0.005776
                     67,                 1.8062,                 2.0669,                 1.5891,                0.36945,                0.31748,                0.26765,                0.14746,                 1.4955,                 1.9668,                  1.494,                0.00571,                0.00571,                0.00571
                     68,                 1.7937,                 2.0622,                 1.5812,                0.38344,                0.32455,                0.27949,                0.16357,                  1.426,                 1.9104,                  1.459,               0.005644,               0.005644,               0.005644
                     69,                  1.791,                 2.0535,                 1.5757,                0.37574,                0.33413,                0.27983,                0.16248,                 1.4277,                 1.9426,                 1.4639,               0.005578,               0.005578,               0.005578
                     70,                 1.7837,                 2.0442,                 1.5753,                0.38804,                 0.3471,                0.28434,                0.16758,                 1.4084,                 1.9438,                 1.4557,               0.005512,               0.005512,               0.005512
                     71,                 1.7828,                 2.0408,                 1.5685,                0.38702,                0.34266,                0.28159,                0.16251,                 1.4219,                 1.9527,                  1.461,               0.005446,               0.005446,               0.005446
                     72,                 1.7765,                 2.0306,                 1.5691,                0.38934,                0.33957,                0.28236,                0.16537,                 1.4168,                   1.91,                 1.4556,                0.00538,                0.00538,                0.00538
                     73,                   1.76,                 2.0114,                 1.5535,                0.38731,                0.34304,                0.28325,                0.16259,                 1.4329,                 1.9265,                 1.4629,               0.005314,               0.005314,               0.005314
                     74,                 1.7652,                 2.0308,                  1.565,                0.39578,                0.35446,                0.29147,                 0.1737,                 1.3843,                 1.8999,                 1.4404,               0.005248,               0.005248,               0.005248
                     75,                 1.7633,                  2.027,                 1.5591,                0.39062,                0.35055,                0.28986,                0.17185,                 1.3865,                 1.8935,                 1.4369,               0.005182,               0.005182,               0.005182
                     76,                 1.7456,                 2.0095,                   1.55,                0.39554,                0.35961,                0.29473,                0.17868,                 1.3613,                 1.8672,                 1.4258,               0.005116,               0.005116,               0.005116
                     77,                 1.7479,                 2.0025,                 1.5528,                0.38884,                0.34897,                0.28904,                0.17102,                 1.3886,                 1.8666,                 1.4348,                0.00505,                0.00505,                0.00505
                     78,                 1.7456,                 2.0047,                  1.551,                0.38926,                0.34821,                0.28857,                 0.1715,                 1.3863,                 1.8601,                 1.4362,               0.004984,               0.004984,               0.004984
                     79,                 1.7357,                 2.0066,                 1.5457,                0.38781,                0.34716,                0.28429,                0.16333,                  1.407,                 1.8847,                 1.4414,               0.004918,               0.004918,               0.004918
                     80,                 1.7372,                 2.0057,                 1.5464,                0.39031,                0.34891,                0.29344,                0.17245,                  1.382,                 1.8746,                 1.4299,               0.004852,               0.004852,               0.004852
                     81,                 1.7298,                 2.0006,                 1.5422,                0.39376,                0.35534,                0.29339,                0.17306,                  1.372,                 1.8736,                 1.4283,               0.004786,               0.004786,               0.004786
                     82,                 1.7341,                 2.0059,                 1.5486,                0.39765,                0.35826,                0.29668,                 0.1775,                 1.3554,                 1.8584,                 1.4211,                0.00472,                0.00472,                0.00472
                     83,                 1.7217,                 1.9813,                 1.5366,                0.40066,                0.36142,                0.29863,                0.17885,                 1.3557,                 1.8487,                 1.4192,               0.004654,               0.004654,               0.004654
                     84,                 1.7102,                 1.9818,                 1.5354,                0.39701,                0.36223,                0.29766,                 0.1741,                 1.3767,                 1.8488,                 1.4263,               0.004588,               0.004588,               0.004588
                     85,                 1.7176,                 1.9842,                 1.5341,                0.39527,                0.36253,                0.29451,                0.16856,                  1.391,                 1.8614,                 1.4317,               0.004522,               0.004522,               0.004522
                     86,                 1.7055,                 1.9643,                 1.5236,                0.39968,                0.36901,                 0.3005,                0.17667,                 1.3705,                 1.8373,                 1.4195,               0.004456,               0.004456,               0.004456
                     87,                 1.6898,                 1.9519,                 1.5104,                0.40389,                0.37147,                0.30331,                0.17638,                 1.3763,                 1.8418,                 1.4202,                0.00439,                0.00439,                0.00439
                     88,                 1.6829,                 1.9561,                 1.5154,                0.40689,                0.37222,                0.30573,                0.17851,                 1.3693,                 1.8442,                 1.4143,               0.004324,               0.004324,               0.004324
                     89,                 1.6965,                 1.9639,                 1.5194,                0.40941,                0.37374,                0.30638,                0.17851,                 1.3654,                 1.8414,                 1.4129,               0.004258,               0.004258,               0.004258
                     90,                 1.6755,                 1.9541,                 1.5088,                0.40564,                0.37906,                0.31044,                0.18233,                 1.3554,                 1.8284,                 1.4073,               0.004192,               0.004192,               0.004192
                     91,                 1.6803,                  1.954,                  1.509,                0.40933,                0.38014,                0.31164,                0.18446,                 1.3401,                 1.8148,                 1.3995,               0.004126,               0.004126,               0.004126
                     92,                 1.6723,                 1.9473,                 1.5075,                0.41285,                0.38122,                0.31276,                0.18619,                 1.3308,                 1.8067,                 1.3925,                0.00406,                0.00406,                0.00406
                     93,                 1.6623,                 1.9415,                 1.5014,                0.41055,                0.38569,                0.31301,                0.18497,                 1.3362,                 1.8087,                 1.3941,               0.003994,               0.003994,               0.003994
                     94,                 1.6618,                 1.9392,                 1.4968,                0.41215,                0.38905,                0.31618,                0.18909,                 1.3229,                 1.8011,                  1.388,               0.003928,               0.003928,               0.003928
                     95,                 1.6663,                  1.933,                 1.4959,                0.41335,                 0.3881,                0.31711,                0.19011,                 1.3161,                 1.7924,                 1.3846,               0.003862,               0.003862,               0.003862
                     96,                  1.658,                 1.9288,                 1.4932,                0.41758,                 0.3932,                 0.3191,                0.19125,                 1.3136,                 1.7861,                 1.3827,               0.003796,               0.003796,               0.003796
                     97,                 1.6554,                 1.9352,                 1.4959,                 0.4204,                0.39839,                0.32194,                0.19507,                 1.2986,                 1.7699,                 1.3773,                0.00373,                0.00373,                0.00373
                     98,                 1.6506,                 1.9238,                 1.4905,                0.42234,                0.40015,                0.32581,                0.19974,                 1.2868,                 1.7647,                 1.3721,               0.003664,               0.003664,               0.003664
                     99,                 1.6409,                 1.9112,                 1.4842,                0.42215,                0.39635,                0.32585,                0.19878,                 1.2914,                 1.7686,                 1.3729,               0.003598,               0.003598,               0.003598
                    100,                 1.6316,                  1.909,                 1.4772,                0.42117,                0.39805,                0.32814,                0.20055,                 1.2882,                 1.7587,                 1.3701,               0.003532,               0.003532,               0.003532
                    101,                 1.6325,                 1.9048,                 1.4802,                0.42298,                0.40226,                0.32966,                 0.2019,                 1.2809,                 1.7536,                 1.3651,               0.003466,               0.003466,               0.003466
                    102,                 1.6376,                 1.9132,                 1.4864,                0.42309,                0.39998,                0.32887,                0.20069,                 1.2853,                 1.7572,                 1.3661,                 0.0034,                 0.0034,                 0.0034
                    103,                 1.6272,                 1.9092,                 1.4828,                0.42405,                 0.4012,                0.32859,                0.19992,                 1.2871,                 1.7583,                 1.3654,               0.003334,               0.003334,               0.003334
                    104,                 1.6266,                 1.9097,                 1.4805,                 0.4259,                0.40278,                0.33061,                 0.2018,                 1.2841,                 1.7561,                 1.3629,               0.003268,               0.003268,               0.003268
                    105,                 1.6224,                 1.8915,                 1.4677,                0.43059,                0.40602,                0.33266,                0.20389,                 1.2771,                 1.7493,                 1.3581,               0.003202,               0.003202,               0.003202
                    106,                 1.6077,                 1.8881,                  1.466,                0.43117,                0.40559,                 0.3319,                0.20226,                 1.2791,                 1.7483,                 1.3576,               0.003136,               0.003136,               0.003136
                    107,                 1.6136,                 1.8936,                 1.4693,                0.43072,                0.40818,                0.33246,                0.20326,                 1.2732,                 1.7454,                 1.3553,                0.00307,                0.00307,                0.00307
                    108,                 1.6019,                 1.8858,                  1.464,                0.43166,                0.40693,                0.33205,                0.20265,                 1.2715,                 1.7462,                 1.3545,               0.003004,               0.003004,               0.003004
                    109,                 1.6086,                  1.889,                 1.4638,                0.43139,                0.40833,                0.33235,                0.20264,                 1.2736,                 1.7456,                 1.3541,               0.002938,               0.002938,               0.002938
                    110,                 1.5996,                 1.8823,                 1.4598,                0.43168,                0.40851,                0.33407,                0.20456,                 1.2718,                 1.7449,                 1.3524,               0.002872,               0.002872,               0.002872
                    111,                  1.579,                 1.8654,                 1.4488,                0.43055,                 0.4139,                0.33611,                0.20685,                 1.2659,                 1.7379,                 1.3487,               0.002806,               0.002806,               0.002806
                    112,                 1.5861,                 1.8662,                 1.4528,                 0.4311,                0.41378,                0.33743,                0.20808,                 1.2628,                  1.734,                 1.3464,                0.00274,                0.00274,                0.00274
                    113,                 1.5832,                 1.8648,                 1.4502,                0.43302,                0.41289,                0.33815,                0.20801,                 1.2618,                 1.7337,                 1.3452,               0.002674,               0.002674,               0.002674
                    114,                 1.5823,                 1.8714,                 1.4523,                0.43531,                0.41423,                0.33922,                0.20798,                 1.2614,                 1.7305,                 1.3444,               0.002608,               0.002608,               0.002608
                    115,                 1.5727,                  1.867,                 1.4434,                0.43688,                0.41289,                0.34001,                 0.2085,                 1.2607,                 1.7269,                 1.3433,               0.002542,               0.002542,               0.002542
                    116,                 1.5682,                 1.8501,                 1.4414,                0.43662,                0.41517,                0.34118,                0.20883,                 1.2613,                 1.7243,                 1.3434,               0.002476,               0.002476,               0.002476
                    117,                 1.5626,                 1.8409,                 1.4316,                0.43654,                0.41616,                0.34157,                0.20919,                 1.2603,                 1.7202,                 1.3424,                0.00241,                0.00241,                0.00241
                    118,                 1.5613,                 1.8569,                 1.4335,                0.43792,                0.41768,                0.34242,                0.20995,                 1.2578,                  1.718,                 1.3408,               0.002344,               0.002344,               0.002344
                    119,                  1.555,                 1.8438,                 1.4372,                0.43805,                 0.4206,                0.34428,                0.21165,                 1.2512,                 1.7136,                 1.3372,               0.002278,               0.002278,               0.002278
                    120,                 1.5562,                 1.8454,                 1.4361,                0.43964,                  0.423,                0.34575,                0.21338,                  1.244,                 1.7078,                 1.3334,               0.002212,               0.002212,               0.002212
                    121,                 1.5535,                 1.8438,                  1.434,                0.43935,                0.42428,                0.34624,                0.21374,                 1.2432,                 1.7054,                 1.3323,               0.002146,               0.002146,               0.002146
                    122,                 1.5416,                 1.8311,                 1.4258,                0.43815,                0.42528,                0.34713,                0.21456,                 1.2398,                 1.7018,                 1.3301,                0.00208,                0.00208,                0.00208
                    123,                 1.5546,                 1.8504,                 1.4378,                0.43905,                0.42651,                0.34778,                0.21515,                 1.2374,                 1.6992,                 1.3284,               0.002014,               0.002014,               0.002014
                    124,                 1.5392,                   1.83,                 1.4221,                0.43921,                0.42761,                0.34785,                0.21485,                 1.2385,                 1.6981,                 1.3284,               0.001948,               0.001948,               0.001948
                    125,                 1.5308,                  1.821,                 1.4172,                0.44157,                0.42539,                0.34828,                0.21539,                 1.2369,                 1.6956,                 1.3275,               0.001882,               0.001882,               0.001882
                    126,                  1.531,                 1.8233,                 1.4196,                0.44257,                0.42662,                0.34942,                0.21647,                 1.2344,                 1.6924,                 1.3258,               0.001816,               0.001816,               0.001816
                    127,                  1.533,                 1.8258,                 1.4174,                0.44377,                 0.4279,                0.35053,                0.21757,                 1.2313,                 1.6889,                 1.3239,                0.00175,                0.00175,                0.00175
                    128,                 1.5242,                 1.8147,                 1.4167,                0.44401,                0.42971,                0.35121,                0.21814,                 1.2305,                 1.6852,                  1.323,               0.001684,               0.001684,               0.001684
                    129,                 1.5158,                 1.8143,                 1.4134,                 0.4437,                0.43164,                0.35196,                0.21877,                 1.2295,                 1.6828,                 1.3218,               0.001618,               0.001618,               0.001618
                    130,                 1.5266,                 1.8159,                 1.4178,                0.44378,                0.43328,                0.35221,                0.21884,                 1.2293,                 1.6815,                 1.3212,               0.001552,               0.001552,               0.001552
                    131,                 1.5044,                 1.8072,                 1.4062,                0.44575,                0.43187,                0.35297,                0.21914,                 1.2275,                 1.6792,                 1.3199,               0.001486,               0.001486,               0.001486
                    132,                 1.5088,                 1.7965,                 1.4049,                0.44609,                0.43345,                0.35378,                0.21971,                  1.227,                 1.6776,                 1.3189,                0.00142,                0.00142,                0.00142
                    133,                 1.5022,                 1.7996,                 1.3995,                0.44642,                0.43416,                 0.3546,                 0.2203,                  1.226,                 1.6754,                  1.318,               0.001354,               0.001354,               0.001354
                    134,                 1.5059,                 1.8012,                 1.4093,                0.44709,                0.43562,                0.35523,                0.22095,                 1.2231,                 1.6728,                 1.3164,               0.001288,               0.001288,               0.001288
                    135,                 1.5006,                 1.7927,                 1.4014,                 0.4473,                0.43713,                0.35573,                0.22076,                 1.2238,                 1.6724,                 1.3164,               0.001222,               0.001222,               0.001222
                    136,                  1.501,                 1.7908,                 1.4004,                0.44711,                 0.4386,                0.35627,                 0.2211,                 1.2223,                  1.671,                 1.3153,               0.001156,               0.001156,               0.001156
                    137,                 1.4849,                 1.7855,                 1.3949,                0.44654,                0.43965,                0.35659,                0.22112,                 1.2233,                 1.6702,                 1.3152,                0.00109,                0.00109,                0.00109
                    138,                 1.4848,                 1.7836,                 1.3923,                0.44859,                0.43842,                0.35709,                0.22135,                  1.224,                 1.6699,                 1.3152,               0.001024,               0.001024,               0.001024
                    139,                 1.4846,                 1.7861,                  1.395,                0.44864,                0.43969,                0.35725,                0.22126,                 1.2246,                 1.6698,                 1.3152,               0.000958,               0.000958,               0.000958
                    140,                 1.4834,                 1.7756,                 1.3895,                0.44807,                0.44016,                0.35771,                0.22133,                 1.2244,                 1.6686,                 1.3151,               0.000892,               0.000892,               0.000892
                    141,                 1.4795,                 1.8584,                  1.464,                 0.4494,                0.44105,                0.35868,                0.22196,                 1.2234,                 1.6678,                 1.3137,               0.000826,               0.000826,               0.000826
                    142,                 1.4325,                 1.8241,                 1.4382,                0.44912,                0.44572,                0.36044,                 0.2238,                  1.218,                 1.6629,                 1.3102,                0.00076,                0.00076,                0.00076
                    143,                 1.3969,                 1.7915,                 1.4139,                0.45045,                0.44718,                0.36257,                 0.2254,                 1.2133,                 1.6583,                  1.307,               0.000694,               0.000694,               0.000694
                    144,                 1.3854,                 1.7788,                 1.4057,                0.44987,                0.45139,                0.36432,                0.22706,                 1.2082,                 1.6536,                 1.3034,               0.000628,               0.000628,               0.000628
                    145,                 1.3865,                 1.7772,                 1.4056,                0.45113,                0.45355,                0.36593,                 0.2286,                 1.2034,                 1.6488,                 1.3001,               0.000562,               0.000562,               0.000562
