                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2426,                 3.4109,                 2.5811,                0.00486,                0.26225,                0.00458,                0.00127,                 3.3379,                 3.6827,                 2.7558,             0.00065537,             0.00065537,             0.00065537
                      2,                 3.1734,                 3.2183,                 2.4508,                0.00473,                0.25533,                0.00657,                0.00173,                 3.3932,                 3.7257,                 2.8239,              0.0012959,              0.0012959,              0.0012959
                      3,                 3.1739,                 3.1609,                 2.4433,                0.02018,                0.02478,                0.00439,                0.00108,                 3.6174,                 3.8049,                 2.9188,              0.0019099,              0.0019099,              0.0019099
                      4,                 3.1575,                 3.1645,                 2.4737,                0.01837,                0.03458,                0.00687,                0.00171,                 3.5442,                 3.5015,                 2.8008,              0.0018812,              0.0018812,              0.0018812
                      5,                 3.1577,                 3.1525,                 2.4585,                0.00499,                0.26801,                0.00419,                0.00107,                 3.3784,                 3.4904,                  2.701,              0.0018812,              0.0018812,              0.0018812
                      6,                 3.1018,                 3.1265,                 2.4383,                0.00562,                0.30317,                0.00705,                0.00207,                  3.235,                 3.4583,                 2.7858,              0.0018416,              0.0018416,              0.0018416
                      7,                 3.0755,                 3.1217,                 2.4126,                0.01039,                0.21556,                0.00881,                 0.0025,                 3.2832,                 3.4455,                 2.7335,               0.001802,               0.001802,               0.001802
                      8,                 3.0629,                 3.1049,                 2.4122,                0.00928,                0.29914,                0.00793,                0.00208,                  3.193,                 3.5864,                 2.6735,              0.0017624,              0.0017624,              0.0017624
                      9,                  3.017,                 3.1027,                 2.4062,                 0.0065,                0.32911,                 0.0087,                0.00245,                 3.1404,                 3.3447,                 2.7097,              0.0017228,              0.0017228,              0.0017228
                     10,                 2.9879,                 3.0933,                 2.3982,                0.00662,                0.30605,                0.01032,                0.00272,                 3.2139,                 3.2706,                 2.7959,              0.0016832,              0.0016832,              0.0016832
                     11,                 2.9133,                 3.0546,                 2.3526,                0.02315,                0.14063,                0.01629,                0.00486,                 3.2902,                 3.2569,                 2.7046,              0.0016436,              0.0016436,              0.0016436
                     12,                 2.9389,                 3.0661,                  2.373,                0.04966,                0.05821,                0.01496,                0.00492,                 3.0183,                 3.2742,                 2.6382,               0.001604,               0.001604,               0.001604
                     13,                 2.8735,                 3.0572,                 2.3537,                0.01094,                0.23573,                0.00689,                0.00196,                 3.2588,                 3.2879,                 2.6677,              0.0015644,              0.0015644,              0.0015644
                     14,                 2.8925,                 3.0194,                 2.3487,                0.00827,                0.34121,                0.01349,                0.00382,                 3.0263,                 3.1917,                 2.7126,              0.0015248,              0.0015248,              0.0015248
                     15,                  2.866,                 3.0297,                 2.3307,                0.02018,                 0.2755,                 0.0177,                0.00557,                 2.9918,                 3.1916,                 2.6565,              0.0014852,              0.0014852,              0.0014852
                     16,                   2.83,                 2.9821,                 2.2954,                0.02014,                 0.2219,                0.01505,                0.00363,                 3.1507,                 3.3737,                 2.5457,              0.0014456,              0.0014456,              0.0014456
                     17,                 2.8219,                 2.9922,                 2.3177,                 0.0172,                0.22997,                0.01124,                0.00341,                 3.0713,                 3.2788,                 2.6654,               0.001406,               0.001406,               0.001406
                     18,                 2.7957,                 3.0231,                 2.3213,                0.03386,                0.11412,                0.01735,                0.00506,                 2.9173,                 3.1891,                 2.6147,              0.0013664,              0.0013664,              0.0013664
                     19,                   2.79,                 2.9783,                 2.2969,                0.02387,                0.25648,                0.01868,                0.00545,                 2.9289,                 3.1782,                 2.5614,              0.0013268,              0.0013268,              0.0013268
                     20,                 2.7896,                 2.9467,                 2.2878,                0.02227,                0.28415,                0.02031,                0.00632,                 2.8942,                 3.1207,                 2.6059,              0.0012872,              0.0012872,              0.0012872
                     21,                 2.7499,                 2.9715,                 2.2649,                0.06327,                0.03689,                0.01836,                0.00593,                 2.9848,                 3.1543,                  2.633,              0.0012476,              0.0012476,              0.0012476
                     22,                 2.7314,                 2.9773,                  2.268,                0.03829,                0.07493,                0.01742,                 0.0052,                  2.979,                 3.2917,                 2.4943,               0.001208,               0.001208,               0.001208
                     23,                  2.758,                 2.9735,                 2.2433,                0.04038,                0.09741,                0.02067,                0.00706,                 2.8838,                 3.1781,                 2.5595,              0.0011684,              0.0011684,              0.0011684
                     24,                 2.7195,                 2.9488,                 2.2485,                0.01822,                0.31585,                0.01486,                0.00428,                 3.0019,                 3.1153,                 2.5174,              0.0011288,              0.0011288,              0.0011288
                     25,                  2.722,                 2.9394,                 2.2248,                0.05597,                0.06167,                0.02471,                0.00792,                 2.8842,                 3.0938,                 2.5286,              0.0010892,              0.0010892,              0.0010892
                     26,                 2.6841,                 2.9086,                 2.2203,                0.02746,                0.21153,                0.01977,                0.00695,                 2.8838,                 3.1171,                 2.5214,              0.0010496,              0.0010496,              0.0010496
                     27,                 2.6895,                 2.8758,                 2.2129,                0.03859,                0.15908,                0.02626,                 0.0092,                 2.8459,                 3.0931,                 2.5179,                0.00101,                0.00101,                0.00101
                     28,                 2.6829,                 2.8948,                 2.2084,                0.03319,                0.17349,                0.02479,                0.00834,                 2.8799,                 3.0932,                 2.4891,              0.0009704,              0.0009704,              0.0009704
                     29,                 2.6501,                 2.8985,                 2.2028,                0.07315,                0.07262,                 0.0304,                0.00987,                 2.8227,                  3.047,                 2.4896,              0.0009308,              0.0009308,              0.0009308
