                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2426,                 3.4109,                 2.5811,                0.00486,                0.26225,                0.00458,                0.00127,                 3.3379,                 3.6827,                 2.7558,             0.00065537,             0.00065537,             0.00065537
                      2,                 3.1675,                 3.2109,                 2.4616,                0.00382,                0.20634,                0.00345,                0.00091,                 3.6603,                 3.7077,                 3.1445,              0.0013089,              0.0013089,              0.0013089
                      3,                 3.1186,                 3.1754,                 2.4304,                0.01811,                0.06513,                0.00503,                0.00142,                 3.4731,                 5.1256,                 3.4192,              0.0019493,              0.0019493,              0.0019493
                      4,                 3.1116,                 3.1826,                 2.4592,                0.03064,                0.01268,                0.01041,                0.00262,                 3.4917,                 3.6306,                 2.8087,              0.0019406,              0.0019406,              0.0019406
                      5,                 3.0797,                 3.1827,                 2.4661,                0.00408,                0.15043,                 0.0029,                0.00081,                 3.7402,                 4.1501,                 3.1356,              0.0019406,              0.0019406,              0.0019406
                      6,                 3.0362,                 3.1399,                 2.4247,                0.00614,                0.28761,                0.00722,                0.00195,                  3.387,                  3.462,                 2.7986,              0.0019208,              0.0019208,              0.0019208
                      7,                 2.9914,                 3.1128,                 2.4005,                0.02601,                0.11816,                0.01445,                0.00554,                 3.2255,                 3.3192,                 2.8063,               0.001901,               0.001901,               0.001901
                      8,                 2.9924,                  3.089,                 2.4161,                0.00652,                0.31873,                0.00872,                0.00238,                 3.1889,                 3.3466,                 2.7098,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.9529,                 3.0917,                 2.3891,                0.00607,                0.27032,                0.00563,                0.00149,                 3.2802,                 3.5274,                  2.641,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.9358,                 3.1108,                 2.3886,                0.01794,                0.22133,                0.00925,                0.00266,                 3.1103,                 3.4215,                 2.6496,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.8903,                 3.0678,                 2.3443,                0.01126,                0.27435,                0.01368,                0.00375,                 3.1669,                 3.3924,                 2.6837,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.9061,                 3.0685,                 2.3451,                0.00975,                0.32738,                0.00926,                0.00247,                  3.034,                 3.4742,                 2.6858,               0.001802,               0.001802,               0.001802
                     13,                 2.8498,                  3.061,                 2.3134,                0.01736,                0.06571,                0.00824,                0.00214,                 3.1712,                 3.6553,                 2.6389,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.8613,                 3.0521,                  2.348,                0.00699,                0.36196,                0.01342,                0.00388,                 3.0055,                 3.2166,                 2.7127,              0.0017624,              0.0017624,              0.0017624
                     15,                  2.864,                 3.0402,                 2.3354,                0.01505,                0.28473,                  0.015,                0.00446,                 3.0531,                 3.2942,                 2.6596,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.8456,                 2.9965,                 2.3056,                0.00667,                 0.3049,                0.01009,                0.00299,                 3.1556,                 3.3311,                 2.6204,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.8244,                 2.9942,                 2.3093,                0.01632,                0.13487,                0.01041,                0.00327,                 2.9764,                  3.377,                 2.6958,               0.001703,               0.001703,               0.001703
                     18,                 2.8033,                 3.0309,                 2.3152,                0.04386,                0.05245,                0.01406,                0.00414,                  3.032,                 3.3934,                 2.7675,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.7828,                 3.0081,                  2.338,                0.00855,                0.36772,                0.01454,                0.00402,                 2.9668,                 3.2917,                 2.6605,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.7812,                 2.9717,                 2.2814,                0.03484,                0.07723,                0.01686,                0.00497,                 2.9258,                 3.2075,                 2.6323,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.7662,                 3.0003,                  2.296,                0.01469,                0.23285,                0.01143,                0.00316,                 3.0576,                 3.2638,                 2.5846,              0.0016238,              0.0016238,              0.0016238
                     22,                  2.732,                 3.0063,                 2.2971,                0.07048,                0.03804,                0.01639,                  0.005,                 2.9726,                 3.2167,                 2.5425,               0.001604,               0.001604,               0.001604
                     23,                 2.7438,                 2.9959,                 2.2721,                0.06079,                0.04035,                0.02287,                0.00763,                 2.8418,                 3.1578,                 2.5783,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.7137,                 2.9822,                   2.26,                 0.0281,                0.21441,                0.02008,                0.00649,                  2.881,                  3.163,                  2.528,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.7272,                 2.9756,                 2.2421,                0.02549,                0.21671,                0.02277,                0.00685,                 2.8871,                 3.2247,                 2.5868,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.6948,                 2.9406,                 2.2418,                0.04549,                0.12622,                0.02483,                0.00835,                 2.8901,                 3.1178,                 2.5611,              0.0015248,              0.0015248,              0.0015248
                     27,                 2.7037,                 2.9293,                 2.2344,                 0.0516,                  0.083,                0.01958,                 0.0062,                  2.884,                 3.1543,                 2.5525,               0.001505,               0.001505,               0.001505
                     28,                 2.7095,                 2.9209,                 2.2347,                0.06762,                0.03458,                0.01799,                0.00532,                 2.9184,                 3.2786,                 2.5722,              0.0014852,              0.0014852,              0.0014852
                     29,                 2.6755,                 2.9377,                 2.2264,                0.08051,                0.04899,                0.02673,                0.00937,                 2.9053,                 3.1198,                 2.5414,              0.0014654,              0.0014654,              0.0014654
                     30,                 2.7047,                 2.8922,                 2.2168,                0.07231,                0.05245,                 0.0273,                0.00866,                 2.8142,                 3.1505,                 2.5337,              0.0014456,              0.0014456,              0.0014456
                     31,                 2.6574,                 2.9392,                 2.2283,                0.07106,                0.07608,                0.02693,                0.01018,                 2.7932,                 3.1227,                 2.4972,              0.0014258,              0.0014258,              0.0014258
                     32,                 2.6573,                 2.9161,                 2.2169,                 0.0562,                0.15101,                0.03123,                0.00945,                  2.815,                 3.0238,                 2.4364,               0.001406,               0.001406,               0.001406
                     33,                 2.6512,                 2.8652,                 2.1838,                 0.0822,                0.04957,                0.02717,                0.00873,                 2.7904,                 3.1303,                 2.5096,              0.0013862,              0.0013862,              0.0013862
                     34,                 2.6154,                 2.8864,                 2.1959,                 0.0985,                0.05533,                0.03126,                0.01036,                 2.8524,                  3.052,                 2.4362,              0.0013664,              0.0013664,              0.0013664
                     35,                 2.6339,                 2.8843,                 2.1822,                0.05533,                0.06052,                0.02612,                0.01042,                 2.7987,                 3.1755,                 2.4621,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.6424,                 2.8786,                 2.1615,                0.03943,                0.19078,                0.02693,                0.00968,                 2.8113,                 3.0709,                 2.4701,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.6192,                 2.8852,                 2.1664,                0.05025,                0.04265,                0.01742,                0.00478,                 2.8311,                  3.096,                  2.477,               0.001307,               0.001307,               0.001307
                     38,                 2.6152,                 2.8696,                 2.1828,                0.05155,                0.06744,                0.02543,                0.00787,                 2.7863,                 3.0409,                 2.4948,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.5946,                 2.8444,                 2.1683,                0.06732,                0.06513,                 0.0236,                0.00778,                 2.7395,                 3.0291,                 2.4454,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.5731,                 2.8578,                 2.1706,                0.06604,                0.05706,                0.02888,                0.01004,                 2.7165,                  2.995,                  2.403,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.5869,                 2.8081,                 2.1481,                 0.1082,                0.05591,                0.02983,                0.00962,                 2.7696,                 3.1077,                 2.4819,              0.0012278,              0.0012278,              0.0012278
                     42,                  2.594,                 2.8093,                 2.1328,                0.07684,                0.05879,                0.02728,                0.00958,                 2.7461,                 3.0169,                 2.4366,               0.001208,               0.001208,               0.001208
                     43,                 2.5523,                 2.8144,                 2.1494,                0.09188,                0.06225,                0.03236,                0.01178,                 2.7653,                 3.0319,                 2.4624,              0.0011882,              0.0011882,              0.0011882
                     44,                 2.5587,                 2.7988,                 2.1357,                 0.0508,                0.06052,                0.02298,                0.00813,                 2.7712,                 3.1329,                 2.4527,              0.0011684,              0.0011684,              0.0011684
                     45,                 2.5357,                 2.8201,                 2.1315,                0.05947,                0.06974,                0.01895,                0.00601,                 2.7824,                 3.0709,                 2.4493,              0.0011486,              0.0011486,              0.0011486
                     46,                   2.55,                 2.7996,                 2.1387,                0.07671,                0.08473,                0.02461,                0.00745,                 2.7268,                 3.0655,                 2.4455,              0.0011288,              0.0011288,              0.0011288
                     47,                 2.5189,                 2.7818,                 2.1131,                0.07587,                0.05533,                0.03133,                0.01068,                   2.74,                 2.9746,                  2.406,               0.001109,               0.001109,               0.001109
                     48,                 2.5206,                 2.7981,                 2.1298,                 0.0891,                0.07262,                0.03733,                0.01228,                 2.7199,                 2.9921,                 2.3946,              0.0010892,              0.0010892,              0.0010892
                     49,                 2.5455,                 2.7535,                 2.0938,                0.09841,                0.10259,                0.03983,                0.01355,                 2.6441,                 2.9696,                 2.3697,              0.0010694,              0.0010694,              0.0010694
                     50,                 2.5119,                 2.7336,                 2.0786,                0.09841,                0.07608,                0.03848,                0.01401,                 2.6679,                 2.9485,                  2.388,              0.0010496,              0.0010496,              0.0010496
                     51,                 2.4964,                 2.7483,                 2.0789,                0.09902,                0.07262,                 0.0369,                0.01253,                 2.6844,                 2.9678,                 2.3957,              0.0010298,              0.0010298,              0.0010298
                     52,                 2.4724,                 2.7173,                 2.0922,                0.08619,                0.07378,                0.03106,                0.00958,                 2.6755,                 2.9738,                 2.3369,                0.00101,                0.00101,                0.00101
                     53,                 2.4892,                  2.714,                  2.084,                0.09488,                0.07781,                0.03363,                0.01165,                 2.6752,                 2.9409,                 2.3609,              0.0009902,              0.0009902,              0.0009902
                     54,                 2.4852,                 2.7285,                 2.0841,                0.11578,                0.07262,                0.04073,                 0.0151,                 2.6695,                 3.0104,                 2.4424,              0.0009704,              0.0009704,              0.0009704
                     55,                 2.4826,                 2.6901,                 2.0672,                0.07432,                0.07608,                0.03551,                0.01134,                 2.6984,                 2.9178,                 2.3547,              0.0009506,              0.0009506,              0.0009506
                     56,                  2.441,                 2.6957,                 2.0507,                0.10564,                0.07435,                0.04198,                0.01331,                 2.6392,                 2.9317,                 2.3389,              0.0009308,              0.0009308,              0.0009308
                     57,                 2.4519,                 2.6812,                 2.0625,                0.11407,                0.07781,                0.04414,                 0.0165,                 2.6328,                 2.9552,                 2.3753,               0.000911,               0.000911,               0.000911
                     58,                 2.4631,                 2.6783,                 2.0383,                0.12666,                0.09222,                0.05278,                0.01624,                 2.6118,                 2.8885,                 2.3536,              0.0008912,              0.0008912,              0.0008912
                     59,                 2.4484,                 2.6776,                 2.0344,                0.11234,                0.08012,                0.04267,                0.01568,                 2.6463,                 2.9047,                 2.3357,              0.0008714,              0.0008714,              0.0008714
                     60,                 2.4357,                  2.673,                 2.0452,                0.10836,                0.10836,                0.04295,                0.01401,                 2.6348,                 2.8852,                 2.3533,              0.0008516,              0.0008516,              0.0008516
                     61,                 2.4199,                 2.6694,                 2.0323,                0.09994,                0.08646,                0.04409,                0.01501,                  2.633,                 2.8922,                 2.3432,              0.0008318,              0.0008318,              0.0008318
                     62,                  2.425,                 2.6471,                 2.0238,                0.09464,                0.08069,                0.04516,                0.01447,                 2.6488,                 2.9337,                  2.372,               0.000812,               0.000812,               0.000812
                     63,                 2.3949,                 2.6684,                 2.0396,                0.11676,                0.08646,                0.05045,                0.01869,                 2.5719,                  2.877,                 2.3071,              0.0007922,              0.0007922,              0.0007922
                     64,                 2.4129,                 2.6611,                 2.0204,                0.12744,                0.10202,                0.04715,                0.01528,                 2.5625,                 2.8541,                 2.3352,              0.0007724,              0.0007724,              0.0007724
                     65,                 2.4042,                 2.6322,                  2.015,                0.12066,                0.08761,                0.04778,                0.01522,                 2.6466,                 2.8963,                  2.342,              0.0007526,              0.0007526,              0.0007526
                     66,                 2.3787,                 2.6363,                 2.0016,                0.09964,                0.07954,                0.04468,                0.01562,                 2.6074,                 2.8814,                 2.3249,              0.0007328,              0.0007328,              0.0007328
                     67,                 2.3715,                  2.599,                 1.9956,                 0.1104,                0.09506,                0.04793,                0.01577,                 2.5861,                 2.8918,                 2.3506,               0.000713,               0.000713,               0.000713
                     68,                 2.3823,                 2.5949,                 2.0005,                0.10608,                0.08761,                0.04774,                0.01706,                 2.6143,                 2.8492,                 2.3016,              0.0006932,              0.0006932,              0.0006932
                     69,                 2.4007,                 2.6228,                 2.0145,                0.13511,                0.11066,                0.05761,                0.02129,                 2.5785,                 2.8394,                 2.3087,              0.0006734,              0.0006734,              0.0006734
                     70,                 2.3592,                 2.6023,                 1.9872,                0.12819,                0.12161,                0.05472,                0.01855,                 2.5577,                 2.8357,                  2.307,              0.0006536,              0.0006536,              0.0006536
                     71,                 2.3343,                 2.5884,                 1.9916,                0.13302,                0.10317,                0.05733,                 0.0199,                 2.5816,                 2.8489,                 2.3062,              0.0006338,              0.0006338,              0.0006338
                     72,                 2.3337,                  2.594,                 1.9819,                0.14442,                0.10144,                0.05392,                0.01875,                  2.552,                 2.8194,                 2.3174,               0.000614,               0.000614,               0.000614
                     73,                 2.3111,                 2.5378,                 1.9374,                0.10962,                0.09337,                0.05358,                0.01898,                 2.5723,                  2.817,                 2.3195,              0.0005942,              0.0005942,              0.0005942
                     74,                 2.3317,                 2.5604,                 1.9719,                0.13061,                0.10259,                0.05965,                0.02139,                 2.5391,                 2.8284,                 2.3078,              0.0005744,              0.0005744,              0.0005744
                     75,                 2.3352,                 2.5364,                 1.9569,                0.13406,                0.10086,                0.06195,                0.02176,                 2.5535,                 2.8264,                 2.3117,              0.0005546,              0.0005546,              0.0005546
                     76,                 2.3025,                 2.5453,                 1.9592,                0.13742,                0.10881,                0.06089,                0.02292,                 2.5686,                 2.8306,                 2.3162,              0.0005348,              0.0005348,              0.0005348
                     77,                 2.3073,                 2.5357,                 1.9777,                 0.1331,                0.11758,                0.06326,                0.02178,                 2.5316,                 2.8091,                 2.2926,               0.000515,               0.000515,               0.000515
                     78,                 2.2715,                 2.5273,                 1.9363,                0.14192,                0.10432,                0.06543,                0.02266,                 2.5372,                  2.789,                 2.2793,              0.0004952,              0.0004952,              0.0004952
                     79,                  2.292,                 2.4977,                 1.9446,                0.13888,                0.11643,                0.06795,                0.02355,                 2.5285,                 2.7915,                 2.2973,              0.0004754,              0.0004754,              0.0004754
                     80,                 2.2756,                 2.5173,                 1.9381,                0.14204,                0.12219,                0.07002,                0.02432,                 2.5499,                 2.8236,                 2.2846,              0.0004556,              0.0004556,              0.0004556
                     81,                 2.2513,                 2.5034,                 1.9244,                0.12237,                0.12046,                0.06479,                0.02187,                 2.5694,                 2.8329,                   2.29,              0.0004358,              0.0004358,              0.0004358
                     82,                  2.249,                 2.5102,                 1.9332,                0.12846,                0.12046,                0.06303,                 0.0228,                 2.5607,                 2.8415,                 2.2855,               0.000416,               0.000416,               0.000416
                     83,                 2.2806,                 2.5043,                 1.9458,                0.13543,                0.10437,                0.06812,                0.02373,                 2.5301,                 2.7885,                 2.2953,              0.0003962,              0.0003962,              0.0003962
                     84,                 2.2368,                  2.482,                 1.8994,                0.14128,                0.10778,                0.07188,                0.02545,                 2.5359,                 2.8019,                 2.2791,              0.0003764,              0.0003764,              0.0003764
                     85,                 2.2702,                 2.4696,                 1.9113,                0.14037,                  0.117,                0.07347,                0.02712,                 2.5074,                  2.779,                 2.2722,              0.0003566,              0.0003566,              0.0003566
                     86,                 2.2504,                 2.4512,                 1.9041,                0.14437,                0.11988,                0.07068,                0.02568,                 2.5333,                 2.7841,                 2.2895,              0.0003368,              0.0003368,              0.0003368
                     87,                 2.2711,                 2.4819,                 1.9059,                 0.1499,                0.12853,                0.07335,                0.02694,                 2.5356,                 2.7657,                 2.2832,               0.000317,               0.000317,               0.000317
                     88,                 2.2434,                 2.4657,                  1.901,                0.13514,                0.12507,                 0.0716,                0.02644,                 2.5164,                 2.7675,                  2.296,              0.0002972,              0.0002972,              0.0002972
                     89,                 2.2424,                 2.4436,                 1.9024,                0.15817,                0.12161,                0.07553,                0.02697,                 2.5311,                 2.7678,                 2.2914,              0.0002774,              0.0002774,              0.0002774
                     90,                 2.2231,                 2.4713,                 1.9043,                0.15493,                0.13314,                0.07623,                0.02716,                 2.5093,                 2.7342,                 2.2763,              0.0002576,              0.0002576,              0.0002576
                     91,                 2.2276,                 2.5396,                 1.9879,                0.16074,                0.13718,                0.07639,                0.02754,                 2.4779,                 2.7437,                 2.2645,              0.0002378,              0.0002378,              0.0002378
                     92,                 2.1947,                 2.4909,                 1.9471,                0.15084,                0.13602,                0.08012,                0.02893,                 2.5017,                 2.7415,                 2.2607,               0.000218,               0.000218,               0.000218
                     93,                 2.1531,                 2.4563,                 1.9474,                0.15772,                0.14813,                0.08722,                0.03157,                 2.4652,                 2.7404,                 2.2651,              0.0001982,              0.0001982,              0.0001982
                     94,                 2.1637,                 2.4319,                 1.9221,                 0.1748,                 0.1366,                0.08592,                0.03229,                 2.4692,                 2.7229,                 2.2447,              0.0001784,              0.0001784,              0.0001784
                     95,                 2.1439,                 2.4119,                 1.9207,                0.15746,                 0.1487,                0.08713,                0.03366,                 2.4572,                 2.7256,                 2.2488,              0.0001586,              0.0001586,              0.0001586
                     96,                  2.137,                 2.3772,                 1.9102,                0.16549,                0.14755,                0.08812,                0.03368,                 2.4573,                 2.7181,                 2.2469,              0.0001388,              0.0001388,              0.0001388
                     97,                 2.1578,                 2.4021,                 1.9193,                0.16144,                0.15274,                0.08856,                0.03352,                  2.444,                 2.7172,                 2.2433,               0.000119,               0.000119,               0.000119
                     98,                 2.1357,                 2.3818,                 1.9036,                0.16544,                0.15216,                0.09123,                0.03483,                 2.4382,                 2.7097,                 2.2328,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 2.1388,                 2.3746,                 1.9079,                0.16789,                0.15159,                0.09205,                 0.0348,                 2.4439,                 2.7113,                 2.2342,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 2.1073,                 2.3516,                 1.8911,                0.17136,                0.15159,                0.09269,                0.03446,                 2.4426,                 2.7126,                 2.2367,               5.96e-05,               5.96e-05,               5.96e-05
