                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4431,                 3.5474,                 2.6466,                0.00421,                0.24187,                0.00378,                0.00112,                  3.391,                 3.6111,                 2.9045,             0.00065537,             0.00065537,             0.00065537
                      2,                 3.2178,                 3.3284,                 2.4699,                0.00652,                 0.1682,                0.00481,                0.00134,                 3.5896,                  3.836,                 2.9971,              0.0013133,              0.0013133,              0.0013133
                      3,                 3.2178,                 3.3362,                 2.4975,                0.00377,                0.03806,                  0.001,                0.00026,                 3.4279,                 18.615,                 2.7958,              0.0019624,              0.0019624,              0.0019624
                      4,                  3.162,                  3.299,                 2.4702,                0.00412,                0.22775,                0.00915,                 0.0022,                 3.3424,                 3.7282,                 2.8605,              0.0019604,              0.0019604,              0.0019604
                      5,                 3.0983,                 3.2891,                  2.468,                0.00341,                0.19583,                0.00298,                0.00081,                 3.5617,                 3.7327,                 2.7762,              0.0019604,              0.0019604,              0.0019604
                      6,                 3.0591,                 3.3464,                 2.4537,                0.00374,                0.21486,                0.00382,                0.00108,                 3.1995,                 3.7443,                 2.8332,              0.0019472,              0.0019472,              0.0019472
                      7,                  3.043,                 3.3068,                 2.4391,                0.00456,                0.26212,                0.00438,                0.00135,                 3.1432,                 4.0541,                 2.7673,               0.001934,               0.001934,               0.001934
                      8,                 2.9965,                 3.3052,                 2.4303,                0.00355,                0.18293,                0.00271,                 0.0008,                  3.321,                  3.704,                 2.6737,              0.0019208,              0.0019208,              0.0019208
                      9,                  2.974,                 3.2925,                 2.3851,                0.01272,                0.14303,                0.00511,                0.00135,                 3.0858,                  3.606,                 2.6185,              0.0019076,              0.0019076,              0.0019076
                     10,                 2.9772,                 3.2466,                 2.4139,                0.00461,                0.26028,                0.00578,                0.00174,                 3.0751,                 3.6447,                  2.716,              0.0018944,              0.0018944,              0.0018944
