                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2426,                 3.4109,                 2.5811,                0.00486,                0.26225,                0.00458,                0.00127,                 3.3379,                 3.6827,                 2.7558,             0.00065537,             0.00065537,             0.00065537
                      2,                  3.166,                 3.2092,                 2.4522,                0.00504,                0.27205,                0.00619,                0.00167,                  3.484,                 3.6705,                 2.9481,              0.0013133,              0.0013133,              0.0013133
                      3,                 3.1497,                 3.1708,                 2.4307,                0.00629,                0.20115,                 0.0034,                0.00095,                  3.397,                 4.2901,                 2.7529,              0.0019624,              0.0019624,              0.0019624
                      4,                 3.1606,                 3.1875,                 2.4792,                0.02435,                0.07493,                 0.0078,                0.00191,                 3.3353,                 3.9177,                 2.7225,              0.0019604,              0.0019604,              0.0019604
                      5,                 3.1447,                 3.1702,                 2.4489,                0.00773,                0.19193,                0.00673,                0.00189,                 3.5192,                 3.8801,                 2.9209,              0.0019604,              0.0019604,              0.0019604
                      6,                 3.1381,                 3.1467,                 2.4567,                0.02215,                0.03631,                0.00552,                0.00145,                  3.424,                 4.3245,                 2.7621,              0.0019472,              0.0019472,              0.0019472
                      7,                 3.0859,                 3.1255,                 2.4264,                0.01638,                0.25187,                 0.0177,                0.00434,                 3.1811,                 3.3459,                 2.7024,               0.001934,               0.001934,               0.001934
                      8,                  3.062,                 3.1044,                  2.447,                0.00923,                0.23689,                 0.0062,                 0.0017,                 3.2731,                 3.6211,                 2.7389,              0.0019208,              0.0019208,              0.0019208
                      9,                 3.0249,                  3.091,                 2.4091,                0.00732,                0.35101,                0.01017,                0.00256,                 3.1592,                 3.6629,                 2.5795,              0.0019076,              0.0019076,              0.0019076
                     10,                 3.0053,                 3.0972,                 2.3863,                0.00651,                0.33372,                0.01076,                0.00294,                 3.1372,                 3.3145,                 2.7456,              0.0018944,              0.0018944,              0.0018944
                     11,                 2.9244,                 3.0796,                 2.3636,                0.00732,                0.23228,                0.00658,                0.00169,                 3.4273,                 3.5092,                 2.7133,              0.0018812,              0.0018812,              0.0018812
                     12,                 2.9576,                 3.0759,                 2.3756,                0.01001,                0.30663,                0.01087,                 0.0027,                 3.1111,                  3.396,                 2.5878,               0.001868,               0.001868,               0.001868
                     13,                 2.8929,                 3.0844,                  2.355,                0.01387,                0.19885,                0.00783,                0.00223,                 3.1642,                 3.3251,                 2.6631,              0.0018548,              0.0018548,              0.0018548
                     14,                 2.9091,                 3.0539,                 2.3436,                 0.0076,                0.35159,                0.01049,                0.00284,                 3.1113,                  3.345,                 2.5982,              0.0018416,              0.0018416,              0.0018416
                     15,                  2.887,                  3.043,                  2.342,                0.00704,                0.35965,                0.00962,                0.00254,                 3.0989,                 3.3027,                 2.5521,              0.0018284,              0.0018284,              0.0018284
                     16,                 2.8653,                 3.0221,                 2.3377,                0.01769,                0.27147,                0.01351,                0.00337,                 3.0897,                 3.3404,                 2.6589,              0.0018152,              0.0018152,              0.0018152
                     17,                 2.8279,                 3.0223,                 2.3275,                 0.0161,                0.22075,                0.01091,                  0.003,                 2.9918,                 3.4245,                  2.659,               0.001802,               0.001802,               0.001802
                     18,                 2.8101,                 3.0534,                 2.3375,                0.03459,                0.10605,                0.01742,                0.00592,                 3.0489,                 3.2595,                 2.6671,              0.0017888,              0.0017888,              0.0017888
                     19,                 2.7966,                 3.0139,                 2.3287,                0.01683,                0.22421,                 0.0112,                0.00322,                 3.0687,                 3.4126,                 2.6278,              0.0017756,              0.0017756,              0.0017756
                     20,                  2.794,                  3.003,                 2.2877,                 0.0074,                0.39424,                0.01726,                0.00536,                 2.9451,                 3.3894,                 2.6941,              0.0017624,              0.0017624,              0.0017624
                     21,                 2.7645,                 3.0101,                 2.2994,                 0.0208,                0.23919,                0.01737,                0.00488,                 2.9615,                 3.2339,                 2.6628,              0.0017492,              0.0017492,              0.0017492
                     22,                 2.7615,                 3.0415,                 2.3045,                0.01662,                0.23758,                0.01331,                0.00404,                 2.9891,                 3.2436,                 2.6482,               0.001736,               0.001736,               0.001736
                     23,                  2.787,                 3.0151,                 2.2967,                0.02002,                0.29625,                0.01876,                0.00545,                  2.951,                  3.174,                 2.5979,              0.0017228,              0.0017228,              0.0017228
                     24,                 2.7603,                 2.9872,                  2.289,                0.00787,                0.35965,                0.01138,                0.00344,                 2.9848,                 3.3591,                 2.6324,              0.0017096,              0.0017096,              0.0017096
                     25,                 2.7744,                 3.0077,                 2.2731,                0.01971,                    0.2,                0.01563,                0.00492,                  2.916,                 3.1796,                 2.6245,              0.0016964,              0.0016964,              0.0016964
                     26,                  2.737,                 2.9636,                 2.2868,                0.02068,                0.26225,                0.02086,                0.00544,                  2.942,                 3.3095,                 2.5133,              0.0016832,              0.0016832,              0.0016832
                     27,                 2.7209,                 2.9434,                  2.249,                0.04968,                0.10212,                0.02673,                0.00901,                 2.8652,                 3.1848,                 2.5599,                0.00167,                0.00167,                0.00167
                     28,                 2.6975,                 2.9332,                 2.2281,                0.04125,                0.04957,                0.01533,                0.00458,                 2.9376,                 3.1258,                  2.542,              0.0016568,              0.0016568,              0.0016568
                     29,                 2.7198,                 2.9379,                 2.2384,                  0.051,                 0.0611,                0.02214,                0.00745,                 2.9442,                 3.1925,                 2.6388,              0.0016436,              0.0016436,              0.0016436
                     30,                 2.7522,                 2.9167,                 2.2362,                 0.0206,                0.30202,                0.02284,                0.00665,                 2.9315,                 3.1379,                 2.5471,              0.0016304,              0.0016304,              0.0016304
                     31,                 2.7105,                  2.953,                 2.2535,                0.02228,                0.30663,                0.01756,                0.00462,                 2.9753,                 3.2746,                 2.4663,              0.0016172,              0.0016172,              0.0016172
                     32,                 2.6913,                 2.9273,                 2.2495,                0.07716,                0.04265,                 0.0209,                0.00529,                 2.9225,                 3.1405,                 2.4908,               0.001604,               0.001604,               0.001604
                     33,                 2.6826,                  2.904,                 2.1965,                0.04304,                0.15159,                0.01958,                0.00654,                 2.8358,                 3.1424,                 2.5206,              0.0015908,              0.0015908,              0.0015908
                     34,                 2.6505,                 2.9063,                 2.2099,                0.09211,                0.04553,                 0.0244,                 0.0077,                   2.82,                 3.1169,                  2.457,              0.0015776,              0.0015776,              0.0015776
                     35,                  2.658,                 2.9102,                 2.2142,                0.06844,                0.04841,                0.02329,                0.00814,                 2.8033,                 3.1993,                  2.485,              0.0015644,              0.0015644,              0.0015644
                     36,                 2.6846,                 2.8971,                 2.1966,                0.07081,                0.04553,                0.02163,                 0.0066,                 2.8616,                 3.1353,                 2.5324,              0.0015512,              0.0015512,              0.0015512
