                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1028,                  3.289,                 2.4618,                 0.0808,                0.03254,                0.01559,                0.00445,                 3.1746,                 4.4201,                 2.6733,              0.0033262,              0.0033262,              0.0033262
                      2,                  2.923,                 3.0074,                  2.301,                0.05264,                0.08539,                 0.0198,                0.00544,                 2.9183,                 4.8564,                 2.5002,              0.0066156,              0.0066156,              0.0066156
                      3,                 2.8745,                 2.9936,                 2.3098,                0.06792,                0.04785,                0.01843,                0.00613,                 3.0013,                 4.1422,                 2.6303,               0.009861,               0.009861,               0.009861
                      4,                 2.8624,                 3.0153,                 2.3346,                0.02933,                0.26671,                0.02211,                0.00586,                 2.9083,                 3.6256,                 2.4126,               0.009802,               0.009802,               0.009802
