                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4431,                 3.5474,                 2.6466,                0.00421,                0.24187,                0.00378,                0.00112,                  3.391,                 3.6111,                 2.9045,             0.00065537,             0.00065537,             0.00065537
                      2,                  3.214,                 3.3246,                  2.469,                0.00815,                0.12584,                0.00433,                0.00136,                 3.6049,                  4.197,                 2.8144,              0.0013155,              0.0013155,              0.0013155
                      3,                  3.217,                 3.3389,                 2.5039,                0.00587,                0.01412,                0.00148,                0.00034,                 3.5064,                 8.3019,                 2.8289,               0.001969,               0.001969,               0.001969
                      4,                 3.1519,                 3.3042,                  2.512,                0.01153,                0.06139,                0.00461,                0.00113,                 3.4239,                 3.8678,                 2.8449,              0.0019703,              0.0019703,              0.0019703
                      5,                 3.1149,                 3.3142,                 2.4842,                0.00297,                0.15961,                0.00415,                 0.0011,                 3.5435,                 3.8175,                 3.0725,              0.0019703,              0.0019703,              0.0019703
                      6,                 3.0633,                  3.326,                 2.4783,                0.00286,                 0.1639,                0.00191,                0.00053,                   3.35,                 3.7801,                 2.7204,              0.0019604,              0.0019604,              0.0019604
                      7,                 3.0587,                 3.2938,                 2.4772,                  0.005,                0.28729,                0.00631,                0.00167,                 3.1042,                 3.5862,                  2.688,              0.0019505,              0.0019505,              0.0019505
                      8,                 2.9836,                  3.307,                 2.4451,                0.00392,                0.22406,                0.00593,                0.00149,                 3.1698,                  3.707,                 2.8321,              0.0019406,              0.0019406,              0.0019406
                      9,                 2.9603,                  3.292,                 2.4019,                0.00805,                0.13812,                0.00401,                0.00105,                 3.3292,                 3.9661,                 2.6841,              0.0019307,              0.0019307,              0.0019307
                     10,                 2.9648,                 3.2516,                 2.4059,                0.00476,                0.27379,                 0.0075,                0.00215,                 3.0547,                 3.4615,                  2.744,              0.0019208,              0.0019208,              0.0019208
                     11,                 2.9026,                  3.284,                 2.4035,                0.00643,                0.08901,                0.00328,                0.00096,                 3.1775,                 3.8178,                 2.7388,              0.0019109,              0.0019109,              0.0019109
                     12,                  2.888,                  3.269,                 2.3937,                0.00442,                  0.248,                0.00438,                0.00119,                 3.1647,                 3.5522,                 2.6369,               0.001901,               0.001901,               0.001901
                     13,                 2.8778,                 3.2748,                 2.3805,                0.00476,                 0.2523,                0.00489,                0.00154,                 3.0453,                 3.4636,                 2.7033,              0.0018911,              0.0018911,              0.0018911
                     14,                 2.8908,                 3.2461,                 2.3751,                0.00948,                0.12093,                0.00436,                0.00133,                  3.072,                 3.5364,                  2.659,              0.0018812,              0.0018812,              0.0018812
                     15,                 2.8826,                 3.2307,                 2.3804,                0.00563,                0.31799,                 0.0085,                0.00246,                 2.9844,                  3.414,                 2.6973,              0.0018713,              0.0018713,              0.0018713
