                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1028,                  3.289,                 2.4618,                 0.0808,                0.03254,                0.01559,                0.00445,                 3.1746,                 4.4201,                 2.6733,              0.0033262,              0.0033262,              0.0033262
                      2,                 2.9077,                 3.0078,                 2.2886,                0.03913,                0.13736,                0.02125,                 0.0052,                  3.003,                  3.689,                 2.5645,              0.0065936,              0.0065936,              0.0065936
                      3,                 2.8684,                 2.9943,                 2.3074,                0.02983,                0.11784,                0.01737,                0.00551,                 3.0299,                 4.8873,                 2.7111,               0.009795,               0.009795,               0.009795
                      4,                 2.8415,                 3.0187,                 2.3266,                0.01972,                0.23341,                0.01449,                0.00417,                 2.9207,                  3.535,                 2.5493,               0.009703,               0.009703,               0.009703
                      5,                  2.777,                 2.9885,                 2.2964,                0.06768,                 0.0527,                0.02009,                0.00577,                 2.8927,                   3.59,                 2.4831,               0.009703,               0.009703,               0.009703
                      6,                 2.7105,                 2.9262,                 2.2372,                0.07618,                0.05638,                0.02608,                 0.0085,                 2.7277,                 3.3332,                 2.3412,               0.009604,               0.009604,               0.009604
                      7,                 2.6667,                 2.8807,                 2.2074,                0.07244,                0.08775,                0.02861,                0.00841,                 2.7153,                 3.4508,                 2.3518,               0.009505,               0.009505,               0.009505
                      8,                 2.6071,                 2.8573,                 2.1689,                0.09825,                0.06579,                0.03369,                0.01103,                 2.5806,                 3.9545,                 2.3336,               0.009406,               0.009406,               0.009406
                      9,                 2.5808,                 2.8205,                 2.1441,                0.11414,                0.06801,                0.04106,                 0.0129,                 2.5337,                 3.2918,                 2.2314,               0.009307,               0.009307,               0.009307
                     10,                 2.5388,                 2.7827,                 2.1193,                 0.1491,                0.08068,                0.05347,                0.01787,                 2.4725,                 3.2584,                 2.1677,               0.009208,               0.009208,               0.009208
                     11,                 2.5041,                  2.746,                 2.0837,                0.17178,                0.06719,                0.05693,                0.02065,                 2.4187,                 3.0434,                 2.1537,               0.009109,               0.009109,               0.009109
                     12,                 2.4823,                 2.7241,                 2.0614,                0.13607,                0.11083,                0.05944,                0.02174,                 2.3565,                 3.1151,                   2.15,                0.00901,                0.00901,                0.00901
                     13,                 2.4449,                 2.6986,                 2.0404,                0.14743,                0.09196,                0.06143,                0.02184,                 2.3705,                 2.9351,                 2.1338,               0.008911,               0.008911,               0.008911
                     14,                 2.4151,                 2.6724,                 2.0265,                0.13307,                0.10762,                0.06483,                0.02507,                 2.2979,                 2.9066,                  2.078,               0.008812,               0.008812,               0.008812
                     15,                 2.4034,                 2.6431,                 2.0042,                 0.1691,                0.12117,                0.07309,                 0.0281,                 2.2717,                 2.9407,                 2.0282,               0.008713,               0.008713,               0.008713
                     16,                 2.3752,                 2.6217,                 1.9782,                0.15604,                0.11288,                0.07126,                0.02688,                 2.2847,                 2.8765,                 2.0538,               0.008614,               0.008614,               0.008614
                     17,                 2.3518,                 2.5931,                 1.9621,                0.19213,                0.11808,                0.08809,                0.03635,                 2.1926,                 2.8556,                 1.9807,               0.008515,               0.008515,               0.008515
                     18,                 2.3345,                 2.5785,                 1.9457,                0.18782,                0.13537,                0.09504,                0.04078,                  2.152,                 2.7888,                 1.9441,               0.008416,               0.008416,               0.008416
                     19,                 2.3059,                 2.5552,                 1.9273,                0.20084,                 0.1581,                0.10535,                0.04395,                 2.1274,                 2.7277,                 1.9264,               0.008317,               0.008317,               0.008317
                     20,                 2.2889,                 2.5403,                 1.9197,                0.20832,                0.14723,                0.10859,                0.04575,                 2.1027,                 2.6354,                  1.914,               0.008218,               0.008218,               0.008218
                     21,                 2.2771,                 2.5316,                 1.9051,                0.19032,                0.14711,                0.09964,                0.04017,                 2.1508,                 2.5702,                 1.9364,               0.008119,               0.008119,               0.008119
                     22,                  2.252,                 2.5011,                 1.8847,                0.22007,                0.17288,                0.11787,                0.05029,                 2.0542,                  2.528,                  1.877,                0.00802,                0.00802,                0.00802
                     23,                 2.2397,                 2.4815,                 1.8816,                0.20758,                0.18094,                0.11984,                 0.0531,                 2.0489,                  2.552,                 1.8753,               0.007921,               0.007921,               0.007921
                     24,                 2.2188,                 2.4674,                 1.8624,                0.22975,                0.18106,                0.13463,                0.06052,                 1.9764,                 2.5289,                 1.8332,               0.007822,               0.007822,               0.007822
                     25,                 2.2087,                 2.4446,                 1.8543,                0.24215,                0.18602,                 0.1337,                0.05784,                 1.9764,                 2.4681,                 1.8407,               0.007723,               0.007723,               0.007723
                     26,                 2.2022,                 2.4411,                 1.8362,                0.24996,                0.17931,                0.13416,                0.05719,                 1.9914,                 2.4667,                 1.8322,               0.007624,               0.007624,               0.007624
                     27,                 2.1813,                 2.4236,                 1.8341,                0.25452,                0.18375,                0.13794,                0.06211,                 1.9777,                 2.4539,                 1.8203,               0.007525,               0.007525,               0.007525
                     28,                 2.1623,                 2.4069,                 1.8239,                0.24229,                0.18725,                0.14395,                0.06515,                 1.9581,                 2.4738,                 1.7996,               0.007426,               0.007426,               0.007426
                     29,                 2.1436,                 2.3996,                   1.81,                0.25282,                0.18392,                0.14182,                0.06126,                 1.9931,                  2.445,                 1.8073,               0.007327,               0.007327,               0.007327
                     30,                  2.142,                 2.3855,                 1.8109,                0.25322,                0.19841,                0.15213,                0.06939,                 1.9318,                 2.3666,                 1.7941,               0.007228,               0.007228,               0.007228
                     31,                 2.1287,                 2.3737,                 1.8015,                0.28122,                0.19467,                0.15782,                0.07729,                 1.8708,                 2.3626,                 1.7721,               0.007129,               0.007129,               0.007129
                     32,                 2.1148,                 2.3582,                 1.7888,                0.28198,                 0.2039,                0.16251,                 0.0792,                 1.8514,                 2.3501,                 1.7542,                0.00703,                0.00703,                0.00703
                     33,                 2.0951,                 2.3467,                 1.7811,                0.28446,                0.22184,                0.16833,                0.07994,                 1.8611,                 2.3569,                 1.7431,               0.006931,               0.006931,               0.006931
                     34,                  2.085,                 2.3301,                 1.7643,                0.29114,                0.22634,                0.17709,                0.08323,                 1.8293,                 2.3262,                 1.7345,               0.006832,               0.006832,               0.006832
                     35,                  2.078,                 2.3187,                 1.7591,                  0.295,                0.23376,                0.18212,                0.08571,                 1.8354,                 2.2761,                 1.7153,               0.006733,               0.006733,               0.006733
                     36,                 2.0506,                 2.2968,                 1.7432,                0.30129,                 0.2365,                 0.1833,                0.08968,                 1.7717,                 2.2903,                 1.6883,               0.006634,               0.006634,               0.006634
                     37,                 2.0339,                 2.2964,                  1.741,                0.30545,                0.23265,                0.19087,                0.09403,                 1.7873,                 2.2778,                 1.6975,               0.006535,               0.006535,               0.006535
                     38,                 2.0307,                 2.2788,                 1.7317,                0.30107,                0.24562,                0.19401,                0.09783,                 1.7656,                 2.2381,                 1.6775,               0.006436,               0.006436,               0.006436
                     39,                 2.0213,                 2.2716,                 1.7251,                0.32063,                0.23814,                0.19997,                0.09563,                 1.7647,                 2.2012,                 1.6742,               0.006337,               0.006337,               0.006337
                     40,                  2.009,                 2.2628,                 1.7116,                0.32261,                0.24509,                0.19833,                 0.1025,                 1.7423,                 2.1778,                 1.6589,               0.006238,               0.006238,               0.006238
                     41,                 1.9858,                 2.2553,                 1.7082,                0.32491,                0.24655,                0.20454,                0.10404,                  1.719,                 2.1555,                 1.6394,               0.006139,               0.006139,               0.006139
                     42,                 1.9843,                 2.2481,                 1.7033,                 0.3327,                0.24901,                0.20681,                0.10464,                 1.6975,                  2.155,                 1.6341,                0.00604,                0.00604,                0.00604
                     43,                 1.9647,                 2.2205,                 1.6938,                 0.3261,                 0.2592,                0.21223,                0.10713,                 1.7053,                  2.153,                 1.6387,               0.005941,               0.005941,               0.005941
                     44,                 1.9632,                 2.2127,                 1.6814,                0.32422,                0.25596,                0.20969,                0.10485,                 1.6904,                 2.1897,                 1.6316,               0.005842,               0.005842,               0.005842
                     45,                 1.9517,                  2.205,                 1.6769,                0.33268,                0.26174,                0.21696,                0.11095,                 1.6811,                 2.1196,                 1.6213,               0.005743,               0.005743,               0.005743
                     46,                 1.9594,                 2.2045,                 1.6804,                0.33151,                0.26373,                0.21626,                 0.1083,                 1.6743,                  2.167,                 1.6151,               0.005644,               0.005644,               0.005644
                     47,                 1.9478,                 2.1906,                  1.674,                0.33961,                0.26998,                0.22846,                0.12209,                 1.6368,                 2.0647,                  1.603,               0.005545,               0.005545,               0.005545
                     48,                 1.9332,                 2.1936,                 1.6693,                0.33318,                0.26233,                0.21931,                0.11353,                 1.6616,                 2.1156,                 1.6113,               0.005446,               0.005446,               0.005446
                     49,                 1.9288,                 2.1861,                 1.6666,                 0.3325,                0.27454,                0.22004,                0.11389,                  1.647,                 2.1049,                 1.6022,               0.005347,               0.005347,               0.005347
                     50,                 1.9151,                 2.1708,                 1.6545,                0.33417,                0.28272,                0.22901,                0.12003,                 1.6259,                 2.0968,                  1.583,               0.005248,               0.005248,               0.005248
                     51,                 1.8991,                 2.1569,                 1.6384,                0.34522,                0.27372,                0.23286,                0.12231,                 1.6177,                 2.0822,                 1.5789,               0.005149,               0.005149,               0.005149
                     52,                 1.8902,                 2.1596,                 1.6457,                0.34572,                0.28885,                0.23883,                0.12496,                 1.6068,                 2.0568,                 1.5777,                0.00505,                0.00505,                0.00505
                     53,                 1.8964,                 2.1531,                  1.638,                0.33877,                0.27863,                  0.232,                0.12303,                 1.6081,                 2.0987,                 1.5739,               0.004951,               0.004951,               0.004951
                     54,                 1.8729,                 2.1336,                   1.63,                0.35283,                0.28354,                0.24096,                0.12919,                  1.584,                 2.0692,                 1.5583,               0.004852,               0.004852,               0.004852
                     55,                   1.87,                 2.1326,                 1.6244,                0.35247,                0.27758,                0.23567,                0.12862,                 1.5822,                 2.0323,                 1.5587,               0.004753,               0.004753,               0.004753
                     56,                 1.8689,                 2.1167,                  1.619,                0.35915,                0.28407,                 0.2396,                0.13296,                 1.5527,                 2.0534,                 1.5463,               0.004654,               0.004654,               0.004654
                     57,                 1.8574,                 2.1225,                 1.6195,                0.35448,                0.29429,                0.24604,                0.13575,                 1.5524,                  2.014,                  1.539,               0.004555,               0.004555,               0.004555
                     58,                 1.8529,                   2.13,                 1.6188,                0.34841,                 0.2826,                0.24024,                0.12695,                 1.5892,                 2.0485,                 1.5625,               0.004456,               0.004456,               0.004456
                     59,                 1.8333,                 2.1013,                 1.6076,                0.36465,                0.30019,                0.25183,                0.14023,                 1.5343,                 2.0079,                 1.5301,               0.004357,               0.004357,               0.004357
                     60,                 1.8329,                 2.0983,                  1.605,                0.36278,                0.30252,                0.25771,                0.14568,                  1.533,                 1.9987,                 1.5233,               0.004258,               0.004258,               0.004258
                     61,                 1.8307,                 2.0831,                 1.5922,                0.36473,                0.31088,                0.26252,                0.14808,                 1.5093,                 1.9853,                 1.5101,               0.004159,               0.004159,               0.004159
                     62,                 1.8168,                 2.0827,                 1.5867,                0.36312,                0.31199,                0.26139,                0.14451,                 1.5122,                 1.9632,                 1.5082,                0.00406,                0.00406,                0.00406
                     63,                 1.8142,                 2.0912,                 1.5884,                0.36687,                0.30737,                0.26214,                0.14589,                 1.5034,                 1.9702,                 1.4994,               0.003961,               0.003961,               0.003961
                     64,                 1.8048,                 2.0671,                 1.5813,                0.37175,                0.31327,                0.26873,                0.15252,                 1.4722,                 1.9525,                 1.4917,               0.003862,               0.003862,               0.003862
                     65,                 1.8038,                 2.0756,                 1.5801,                 0.3681,                 0.3131,                0.26063,                0.14301,                 1.5152,                 1.9728,                 1.5135,               0.003763,               0.003763,               0.003763
                     66,                 1.7916,                 2.0589,                 1.5741,                0.36946,                0.31234,                0.26151,                0.14028,                 1.5278,                 1.9752,                 1.5149,               0.003664,               0.003664,               0.003664
                     67,                 1.7894,                 2.0518,                 1.5737,                0.36921,                0.31614,                0.26749,                0.14747,                 1.5006,                 1.9518,                 1.5037,               0.003565,               0.003565,               0.003565
                     68,                 1.7725,                 2.0507,                 1.5639,                 0.3698,                0.31955,                0.27241,                0.15099,                 1.4866,                 1.9566,                 1.4907,               0.003466,               0.003466,               0.003466
                     69,                 1.7678,                 2.0389,                  1.557,                0.37152,                0.31988,                0.27159,                0.15173,                 1.4847,                 1.9356,                 1.4898,               0.003367,               0.003367,               0.003367
                     70,                 1.7607,                 2.0332,                 1.5595,                0.37766,                0.32712,                0.27522,                0.15528,                 1.4677,                 1.9328,                 1.4806,               0.003268,               0.003268,               0.003268
                     71,                 1.7564,                  2.031,                 1.5483,                0.37212,                0.32221,                0.27311,                0.15285,                 1.4787,                 1.9469,                  1.484,               0.003169,               0.003169,               0.003169
                     72,                 1.7525,                 2.0202,                 1.5504,                0.37849,                0.32069,                0.27359,                0.15423,                 1.4647,                 1.9251,                 1.4759,                0.00307,                0.00307,                0.00307
                     73,                 1.7315,                 2.0013,                 1.5328,                0.37112,                0.32268,                0.27195,                0.15238,                 1.4652,                 1.9276,                  1.477,               0.002971,               0.002971,               0.002971
                     74,                 1.7408,                 2.0188,                 1.5468,                0.38305,                0.33137,                0.27971,                0.16162,                 1.4336,                 1.8989,                   1.46,               0.002872,               0.002872,               0.002872
                     75,                 1.7371,                 2.0103,                 1.5388,                0.38409,                0.33477,                0.27974,                0.15895,                 1.4438,                 1.8964,                 1.4635,               0.002773,               0.002773,               0.002773
                     76,                 1.7215,                 1.9941,                 1.5325,                0.37963,                0.33828,                0.27989,                0.16025,                 1.4368,                 1.8842,                 1.4594,               0.002674,               0.002674,               0.002674
                     77,                 1.7162,                 1.9873,                 1.5259,                0.38064,                0.34502,                0.28256,                0.16214,                 1.4218,                 1.8801,                 1.4529,               0.002575,               0.002575,               0.002575
