                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3181,                 3.4753,                 2.6412,                0.00556,                0.28215,                0.00406,                0.00125,                 3.3655,                 4.0617,                 2.8419,             0.00065537,             0.00065537,             0.00065537
                      2,                 3.2497,                 3.2727,                 2.4986,                0.00337,                0.10635,                0.00164,                0.00046,                 3.6312,                 4.8459,                 2.9357,              0.0013089,              0.0013089,              0.0013089
                      3,                 3.1714,                 3.2558,                 2.4596,                 0.0239,                0.05534,                0.00667,                0.00182,                 3.4962,                 4.3128,                 2.9774,              0.0019493,              0.0019493,              0.0019493
                      4,                 3.1796,                 3.2926,                 2.4937,                0.02216,                0.05914,                0.00685,                0.00181,                 3.3612,                 5.2362,                 3.0693,              0.0019406,              0.0019406,              0.0019406
                      5,                 3.0974,                 3.2353,                 2.4642,                 0.0044,                0.21487,                0.00414,                 0.0011,                   3.69,                 3.6958,                 2.9953,              0.0019406,              0.0019406,              0.0019406
                      6,                 3.0352,                 3.2563,                 2.4447,                0.00524,                0.26587,                0.00674,                0.00203,                 3.2216,                 3.5477,                  2.896,              0.0019208,              0.0019208,              0.0019208
                      7,                 3.0536,                  3.294,                 2.4619,                0.00442,                0.22463,                0.00323,                0.00096,                 3.2835,                 3.8161,                 2.6992,               0.001901,               0.001901,               0.001901
                      8,                  3.033,                 3.2309,                 2.4284,                0.01066,                0.06294,                0.00468,                0.00132,                 3.1787,                 3.9136,                  2.689,              0.0018812,              0.0018812,              0.0018812
                      9,                  2.998,                 3.2131,                 2.4288,                0.02125,                0.05806,                0.00824,                0.00232,                 3.1098,                 3.4402,                 2.6382,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.9813,                 3.2031,                 2.4278,                0.01234,                0.14324,                0.00604,                0.00179,                  3.427,                 3.5823,                 2.7463,              0.0018416,              0.0018416,              0.0018416
                     11,                  2.967,                 3.1656,                  2.397,                0.00646,                0.29571,                0.01238,                0.00376,                 3.0574,                 3.4285,                 2.7414,              0.0018218,              0.0018218,              0.0018218
                     12,                  2.917,                 3.1793,                 2.4098,                0.00929,                0.30277,                0.00891,                0.00255,                 3.1142,                 3.3984,                 2.6334,               0.001802,               0.001802,               0.001802
                     13,                 2.9331,                 3.1713,                 2.3876,                0.01313,                0.30005,                0.01156,                0.00317,                 3.0273,                  3.257,                 2.5683,              0.0017822,              0.0017822,              0.0017822
                     14,                 2.8904,                 3.1163,                 2.3674,                0.00526,                0.26316,                0.00738,                0.00216,                 3.1484,                 3.3921,                 2.6165,              0.0017624,              0.0017624,              0.0017624
                     15,                  2.932,                 3.1651,                 2.4018,                0.01745,                0.22301,                0.01034,                0.00302,                 2.9969,                 3.3705,                 2.5951,              0.0017426,              0.0017426,              0.0017426
